"","state","county","year_court_estab","felonies","misdemeanors","court","year","population","per_capita_income","percent_employed","prop_17","prop_64","prop_65","graduate_hs","graduate_college","death_rate","percent_male","percent_white","percent_black","average_age","avg_never_married","avg_married","avg_divorced","percent_below_pov","unemployment_rate","homelessness_count","county_fips","years_since","percent_homeless","county_state_code","Group","match"
"46","VA","Clarke",0,0,0,0,2007,14358,15657,0.2431204,0.22816296,0.63168335,0.14015371,0.74782979,0.2048012,81,0.49491778,0.90769356,0.087100238,38.744732,0.21353368,0.60329145,0.072983749,0.065679923,2.9,382,43,0,266.05377,"4300156570",FALSE,1
"47","OK","Cleveland",2006,1,1,1,2007,235906,13182,0.23919818,0.26386347,0.66894686,0.067189664,0.84416926,0.28093576,56,0.5031994,0.88465047,0.030249121,32.477135,0.27184904,0.57126421,0.10075884,0.069621921,3.6,594,27,1,25.179522,"2700131820",TRUE,1
"48","KY","Clinton",0,0,0,0,2007,9474,6838,0.18029557,0.24838533,0.59879583,0.15281883,0.4782863,0.082029536,120,0.47728518,0.99813902,0.00065681443,38.477722,0.18423578,0.61850584,0.08690884,0.32369509,5.2,4316,53,0,4555.626,"530068380",FALSE,1
"49","MI","Clinton",0,0,0,0,2007,69735,14153,0.2062609,0.28768378,0.61919737,0.093118876,0.83246684,0.21570866,69,0.49776274,0.97850835,0.003766218,34.511101,0.22373028,0.64102215,0.070999861,0.043042418,5.5,408,37,0,58.507206,"3700141530",FALSE,1
"50","GA","Cobb",2013,1,0,0,2007,691496,19166,0.55626082,0.25292075,0.68395627,0.06312298,0.85091943,0.36437833,51,0.49151191,0.87540674,0.098614164,33.400017,0.25437123,0.58888423,0.099637575,0.037915319,4.4,537,67,-6,7.7657714,"6700191660",TRUE,1
"51","IL","Coles",0,0,0,0,2007,52270,11315,0.38734412,0.20730385,0.65521646,0.13747966,0.81327516,0.22491299,91,0.47134227,0.97159398,0.017911084,35.806522,0.35566092,0.48181093,0.076910436,0.088612869,4.4,246,29,0,47.063324,"2900113150",FALSE,1
"53","OK","Comanche",2010,1,1,0,2007,114503,10602,0.24019159,0.28268123,0.63114649,0.086172253,0.81971759,0.19832563,73,0.51930285,0.71458298,0.17856951,32.247055,0.23885433,0.593328,0.090075918,0.13333334,4.2,250,31,0,21.833488,"3100106020",TRUE,1
"54","CA","Contracosta",2007,0,0,0,2007,1010542,20748,0.34357348,0.25143704,0.63970077,0.10886216,0.85489506,0.36796489,72,0.48952636,0.76020736,0.092788391,36.074146,0.25342995,0.56288469,0.099518411,0.054691467,4.6,4062,13,0,40.196251,"1300207480",TRUE,1
"55","IL","Cook",2004,1,0,1,2007,5235762,15697,0.46197963,0.25074011,0.62522,0.1240399,0.73519385,0.26458311,90,0.48090181,0.62779725,0.25800776,36.163517,0.33798459,0.46929672,0.08146067,0.11135932,5.4,6475,31,0,12.366872,"3100156970",TRUE,1
"56","MN","Cook",0,0,0,0,2007,5417,12067,0.45656669,0.24198553,0.59307134,0.16494313,0.84096307,0.29298067,65,0.49844882,0.9229576,0.0012926577,39.979836,0.1953125,0.62858075,0.081380211,0.072254337,4.9,232,31,0,428.28134,"3100120670",FALSE,1
"58","OH","Cuyahoga",2003,1,1,1,2007,1293600,14912,0.51000965,0.23948263,0.60397059,0.1565468,0.74058408,0.23648924,107,0.46969917,0.72638404,0.24798179,38.296509,0.2923198,0.49434143,0.096490547,0.10981744,5.9,2185,35,0,16.890848,"3500149120",TRUE,1
"59","FL","Dade",2000,1,1,1,2007,2453567,13686,0.42375383,0.24160418,0.61859572,0.13980013,0.6562205,0.24391656,87,0.47928029,0.72945094,0.20545879,37.589283,0.27953741,0.49849623,0.1073794,0.14154403,2.7,4392,86,7,17.900469,"8600136860",TRUE,1
"60","AR","Dallas",0,0,0,0,2007,8191,9101,0.2889536,0.26565427,0.55159146,0.18275432,0.60257864,0.10017002,134,0.47867692,0.61087996,0.3846474,39.235283,0.20892549,0.57325011,0.074379064,0.17229602,7.2,130,39,0,158.71078,"390091010",FALSE,1
"61","WI","Dane",0,0,0,0,2007,476261,15542,0.54848331,0.22702372,0.68033564,0.092640668,0.89499652,0.38480598,60,0.49147472,0.93879348,0.028633695,34.165043,0.35557783,0.50418311,0.078182854,0.048428092,3.4,817,25,0,17.154459,"2500155420",FALSE,1
"62","PA","Dauphin",0,0,0,0,2007,256864,14890,0.53241414,0.23390226,0.62307781,0.14301993,0.77364355,0.23786035,100,0.47798902,0.82367659,0.1497353,37.956093,0.27093777,0.53297609,0.081367761,0.072286315,4.1,412,43,0,16.039616,"4300148900",FALSE,1
"63","TN","Davidson",2001,1,0,1,2007,621384,15195,0.72978598,0.22816102,0.65588194,0.11595704,0.76196891,0.27058223,90,0.47474471,0.74736094,0.23350966,36.100166,0.29238355,0.48809105,0.11851946,0.10021793,3.8,2156,37,6,34.696743,"3700151950",TRUE,1
"64","GA","Dekalb",2001,1,1,1,2007,733746,17115,0.57596135,0.23734741,0.67754292,0.085109659,0.83293313,0.3613326,64,0.4792493,0.53552616,0.42214984,34.587952,0.32890722,0.48027334,0.10479123,0.072173163,5.2,6840,89,0,93.220268,"8900171150",TRUE,1
"65","OH","Delaware",2015,0,1,0,2007,160698,17437,0.43169627,0.27500784,0.63346231,0.091529831,0.84024084,0.28370243,56,0.49470335,0.96950501,0.021276278,34.846733,0.22120896,0.64048946,0.073865399,0.043437976,4,1373,41,0,85.439766,"4100174370",TRUE,1
"66","PA","Delaware",2014,0,0,0,2007,555019,17210,0.37000206,0.23118737,0.61372846,0.15508416,0.82053435,0.28717738,104,0.47676897,0.86504179,0.11210424,38.180302,0.29789901,0.52771294,0.061931394,0.049674839,4.2,696,45,-7,12.540112,"4500172100",TRUE,1
"67","OR","Deschutes",2002,1,1,1,2007,153405,13401,0.49471703,0.25781104,0.60347128,0.13871768,0.82562423,0.2423823,83,0.49806559,0.97845459,0.0011339684,37.606899,0.18167244,0.63798541,0.10289428,0.081726268,5,2029,17,5,132.26427,"1700134010",TRUE,1
"68","MI","Dickinson",0,0,0,0,2007,27100,12338,0.46319556,0.25984868,0.55722857,0.18292274,0.7895081,0.19261944,121,0.4906638,0.9888562,0.00085721741,39.307255,0.19289123,0.61855918,0.080009542,0.074927576,6.1,2471,43,0,911.80811,"4300123380",FALSE,1
